epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
46	1.4307	4.0066	|	1.6438	3.2086	22.6190	0.0000	|	1.5364	6.3834	29.0801	0.0000	|  Best result at epoch 13
47	1.5661	2.1356	|	1.2001	29.3378	31.8452	0.0000	|	1.1051	32.6622	37.9822	0.0000	|  Best result at epoch 13
48	1.5344	2.8007	|	1.3853	18.4296	28.5714	0.0000	|	1.3116	20.0828	30.2671	0.0000	|  Best result at epoch 13
49	1.4608	2.3153	|	1.2166	28.3668	23.8095	0.0000	|	1.1305	31.1164	34.4214	0.0000	|  Best result at epoch 13
50	1.4123	2.3462	|	1.2553	26.0880	29.1667	0.0000	|	1.1272	31.3198	33.8279	0.0000	|  Best result at epoch 13
51	1.3665	2.0172	|	1.1508	32.2388	29.1667	0.0000	|	1.0648	35.1168	37.6855	0.0000	|  Best result at epoch 13
52	1.4496	3.0212	|	1.4487	14.6964	29.4643	0.0000	|	1.3943	15.0416	27.5964	0.0000	|  Best result at epoch 13
53	1.4474	2.0021	|	1.1500	32.2861	33.0357	0.0000	|	1.0728	34.6333	35.6083	0.0000	|  Best result at epoch 13
54	1.3573	2.0353	|	1.1699	31.1142	32.7381	0.0000	|	1.0792	34.2406	35.0148	0.0000	|  Best result at epoch 13
55	1.2231	5.4543	|	1.9358	-13.9811	23.8095	0.0000	|	1.8889	-15.0965	24.6291	0.0000	|  Best result at epoch 13
56	1.5666	2.6589	|	1.3665	19.5352	29.1667	0.0000	|	1.2781	22.1222	28.4866	0.0000	|  Best result at epoch 13
57	1.3161	2.2348	|	1.2088	28.8239	26.4881	0.0000	|	1.1045	32.6977	35.0148	0.0000	|  Best result at epoch 13
58	1.2595	3.9415	|	1.6216	4.5197	24.7024	0.0000	|	1.4892	9.2608	27.0030	0.0000	|  Best result at epoch 13
59	1.3365	2.1331	|	1.2010	29.2854	32.1429	0.0000	|	1.0655	35.0745	36.2018	0.0000	|  Best result at epoch 13
60	1.2726	2.3256	|	1.2389	27.0507	27.6786	0.0000	|	1.1128	32.1955	32.6409	0.0000	|  Best result at epoch 13
61	1.2757	2.4537	|	1.3157	22.5288	31.2500	0.0000	|	1.1892	27.5369	34.1246	0.0000	|  Best result at epoch 13
62	1.1805	2.0504	|	1.1618	31.5900	31.8452	0.0000	|	1.0640	35.1674	36.4985	0.0000	|  Best result at epoch 13
63	1.2050	2.1589	|	1.1954	29.6128	29.4643	0.0000	|	1.0589	35.4761	36.7953	0.0000	|  Best result at epoch 13
64	1.2546	2.1361	|	1.1728	30.9429	27.3810	0.0000	|	1.0946	33.3013	34.1246	0.0000	|  Best result at epoch 13
65	1.3070	2.4504	|	1.2631	25.6253	29.7619	0.0000	|	1.1249	31.4585	36.4985	0.0000	|  Best result at epoch 13
66	1.2281	2.0040	|	1.1497	32.3026	29.4643	0.0000	|	1.0628	35.2405	34.7181	0.0000	|  Best result at epoch 13
67	1.2116	2.4675	|	1.2808	24.5830	27.9762	0.0000	|	1.1384	30.6325	31.1573	0.0000	|  Best result at epoch 13
68	1.2019	2.3754	|	1.2614	25.7243	29.4643	0.0000	|	1.1109	32.3104	34.4214	0.0000	|  Best result at epoch 13
69	1.2206	2.1188	|	1.2099	28.7567	28.5714	0.0000	|	1.0694	34.8383	34.4214	0.0000	|  Best result at epoch 13
70	1.1740	4.0425	|	1.6613	2.1807	25.0000	0.0000	|	1.5024	8.4529	26.1128	0.0000	|  Best result at epoch 13
71	1.1981	3.0032	|	1.3817	18.6440	28.8690	0.0000	|	1.2348	24.7633	32.6409	0.0000	|  Best result at epoch 13
72	1.1093	3.1018	|	1.4712	13.3735	25.2976	0.0000	|	1.3606	17.0982	27.0030	0.0000	|  Best result at epoch 13
73	1.1857	2.8022	|	1.3574	20.0736	28.5714	0.0000	|	1.2564	23.4472	32.0475	0.0000	|  Best result at epoch 13
74	1.1224	2.4883	|	1.2740	24.9850	29.1667	0.0000	|	1.1683	28.8109	34.4214	0.0000	|  Best result at epoch 13
75	1.1325	2.2521	|	1.2191	28.2188	31.8452	0.0000	|	1.1132	32.1725	33.2344	0.0000	|  Best result at epoch 13
76	1.1582	2.2746	|	1.2086	28.8345	26.7857	0.0000	|	1.1139	32.1250	34.4214	0.0000	|  Best result at epoch 13
77	1.1966	2.3746	|	1.2633	25.6125	29.7619	0.0000	|	1.1405	30.5046	34.1246	0.0000	|  Best result at epoch 13
78	1.1002	2.4417	|	1.2511	26.3310	27.3810	0.0000	|	1.1341	30.8971	32.6409	0.0000	|  Best result at epoch 13
79	1.1516	2.2305	|	1.2119	28.6423	29.4643	0.0000	|	1.1012	32.8995	35.3116	0.0000	|  Best result at epoch 13
80	1.0713	3.5313	|	1.4659	13.6858	29.1667	0.0000	|	1.3793	15.9589	30.8605	0.0000	|  Best result at epoch 13
81	1.0831	2.3135	|	1.2106	28.7192	29.7619	0.0000	|	1.1300	31.1496	34.7181	0.0000	|  Best result at epoch 13
82	1.0866	3.6886	|	1.5400	9.3241	26.7857	0.0000	|	1.4516	11.5491	27.2997	0.0000	|  Best result at epoch 13
83	1.1550	2.6278	|	1.3171	22.4489	29.7619	0.0000	|	1.1837	27.8742	33.2344	0.0000	|  Best result at epoch 13
84	1.0249	2.1584	|	1.2022	29.2103	30.0595	0.0000	|	1.0886	33.6710	37.3887	0.0000	|  Best result at epoch 13
85	1.0920	2.3574	|	1.2513	26.3196	28.8690	0.0000	|	1.1540	29.6859	32.3442	0.0000	|  Best result at epoch 13
86	1.1432	1.9630	|	1.1204	34.0275	31.2500	0.0000	|	1.0680	34.9226	35.0148	0.0000	|  Best result at epoch 13
87	1.0156	2.9741	|	1.3813	18.6641	29.1667	0.0000	|	1.2493	23.8799	33.5312	0.0000	|  Best result at epoch 13
88	1.0707	2.0435	|	1.1603	31.6809	30.9524	0.0000	|	1.0654	35.0855	36.4985	0.0000	|  Best result at epoch 13
89	1.0008	2.3612	|	1.2457	26.6516	29.1667	0.0000	|	1.1173	31.9191	34.1246	0.0000	|  Best result at epoch 13
90	1.0036	2.1480	|	1.1703	31.0884	28.5714	0.0000	|	1.0826	34.0333	35.0148	0.0000	|  Best result at epoch 13
91	0.9585	2.8075	|	1.3196	22.2974	29.1667	0.0000	|	1.2052	26.5650	34.4214	0.0000	|  Best result at epoch 13
92	1.0327	2.1977	|	1.1952	29.6229	30.9524	0.0000	|	1.1006	32.9369	35.9050	0.0000	|  Best result at epoch 13
93	1.0062	2.3413	|	1.2201	28.1580	27.0833	0.0000	|	1.1348	30.8546	34.4214	0.0000	|  Best result at epoch 13
94	0.9808	2.4421	|	1.2350	27.2823	26.4881	0.0000	|	1.1677	28.8504	29.3769	0.0000	|  Best result at epoch 13
95	1.0181	3.2070	|	1.4029	17.3937	29.4643	0.0000	|	1.2959	21.0398	30.8605	0.0000	|  Best result at epoch 13
96	0.9702	2.5978	|	1.3101	22.8591	25.2976	0.0000	|	1.1775	28.2543	31.7507	0.0000	|  Best result at epoch 13
97	1.0328	2.1933	|	1.1979	29.4649	27.0833	0.0000	|	1.0925	33.4326	35.6083	0.0000	|  Best result at epoch 13
98	0.9528	2.8279	|	1.3207	22.2330	25.5952	0.0000	|	1.2124	26.1267	25.2226	0.0000	|  Best result at epoch 13
99	0.9974	2.5811	|	1.2879	24.1679	28.5714	0.0000	|	1.1685	28.8007	35.6083	0.0000	|  Best result at epoch 13
100	0.9829	2.5202	|	1.2979	23.5742	30.3571	0.0000	|	1.2253	25.3375	31.1573	0.0000	|  Best result at epoch 13
101	0.9178	2.7554	|	1.3661	19.5599	26.1905	0.0000	|	1.2668	22.8086	32.3442	0.0000	|  Best result at epoch 13
102	1.0326	2.5414	|	1.2793	24.6744	25.5952	0.0000	|	1.1691	28.7646	29.3769	0.0000	|  Best result at epoch 13
103	0.9483	2.5908	|	1.2771	24.7997	25.2976	0.0000	|	1.1877	27.6303	25.2226	0.0000	|  Best result at epoch 13
104	0.9133	3.0219	|	1.3895	18.1818	28.5714	0.0000	|	1.2372	24.6121	35.3116	0.0000	|  Best result at epoch 13
105	0.9837	2.8466	|	1.3262	21.9086	25.0000	0.0000	|	1.2087	26.3492	25.5193	0.0000	|  Best result at epoch 13
106	0.9524	2.4178	|	1.2627	25.6515	32.4405	0.0000	|	1.1320	31.0229	38.5757	0.0000	|  Best result at epoch 13
107	0.8854	2.2589	|	1.2185	28.2515	31.5476	0.0000	|	1.1013	32.8952	36.7953	0.0000	|  Best result at epoch 13
108	0.9103	3.3717	|	1.4494	14.6572	24.4048	0.0000	|	1.3569	17.3219	27.0030	0.0000	|  Best result at epoch 13
109	0.9203	2.3115	|	1.2321	27.4500	29.4643	0.0000	|	1.0914	33.5003	37.9822	0.0000	|  Best result at epoch 13
110	0.8599	2.1412	|	1.1832	30.3336	31.2500	0.0000	|	1.0532	35.8270	35.6083	0.0000	|  Best result at epoch 13
111	0.8824	2.1707	|	1.1583	31.7963	30.0595	0.0000	|	1.0866	33.7920	33.2344	0.0000	|  Best result at epoch 13
112	0.8555	2.2685	|	1.2123	28.6144	33.3333	0.0000	|	1.0435	36.4200	40.9496	0.0000	|  Best result at epoch 13
113	0.8800	2.7110	|	1.2779	24.7574	31.8452	0.0000	|	1.1431	30.3490	31.7507	0.0000	|  Best result at epoch 13
114	0.8398	2.4841	|	1.2745	24.9572	31.2500	0.0000	|	1.1075	32.5149	36.4985	0.0000	|  Best result at epoch 13
115	0.9457	2.0924	|	1.1807	30.4770	31.8452	0.0000	|	1.0429	36.4559	38.8724	0.0000	|  Best result at epoch 13
116	0.9615	2.5714	|	1.3210	22.2156	28.5714	0.0000	|	1.1494	29.9618	35.9050	0.0000	|  Best result at epoch 13
117	0.8511	2.5876	|	1.2890	24.1030	27.6786	0.0000	|	1.1434	30.3327	33.2344	0.0000	|  Best result at epoch 13
