epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
46	2.4465	5.2830	|	1.7261	30.5199	31.0976	0.0000	|	1.7011	33.6550	25.3012	0.0000	|  Best result at epoch 38
47	2.2092	5.2458	|	1.8012	27.4956	29.2683	0.0000	|	2.0472	20.1591	19.8795	0.0000	|  Best result at epoch 38
48	3.8774	6.9618	|	1.8511	25.4889	21.9512	0.0000	|	1.5339	40.1762	26.5060	0.0000	|  Best result at epoch 38
49	2.8097	5.0147	|	1.6636	33.0367	25.6098	0.0000	|	1.6498	35.6577	27.1084	0.0000	|  Best result at epoch 38
50	2.3623	7.9249	|	1.9823	20.2050	17.0732	0.0000	|	1.6369	36.1617	25.9036	0.0000	|  Best result at epoch 38
51	2.9933	4.9769	|	1.6658	32.9485	31.0976	0.0000	|	1.7198	32.9249	24.6988	0.0000	|  Best result at epoch 38
52	3.2137	5.0095	|	1.7272	30.4756	34.1463	0.0000	|	2.0302	20.8216	19.2771	0.0000	|  Best result at epoch 38
53	2.4625	5.2735	|	1.7183	30.8319	36.5854	0.0000	|	1.9330	24.6134	21.6867	0.0000	|  Best result at epoch 38
54	2.3987	5.8007	|	1.9348	22.1200	32.3171	0.0000	|	2.2115	13.7490	16.8675	0.0000	|  Best result at epoch 38
55	2.3950	5.0881	|	1.6602	33.1700	29.2683	0.0000	|	1.6156	36.9923	25.9036	0.0000	|  Best result at epoch 55
56	2.6570	6.6068	|	2.0062	19.2456	29.8780	0.0000	|	2.1991	14.2321	17.4699	0.0000	|  Best result at epoch 55
57	2.5737	7.6528	|	2.1720	12.5685	30.4878	0.0000	|	2.3542	8.1866	15.6627	0.0000	|  Best result at epoch 55
58	2.7760	5.0121	|	1.6511	33.5366	29.2683	0.0000	|	1.5972	37.7090	25.9036	0.0000	|  Best result at epoch 58
59	2.4661	4.9272	|	1.6884	32.0382	32.9268	0.0000	|	1.7481	31.8227	23.4940	0.0000	|  Best result at epoch 58
60	2.1558	5.1064	|	1.6577	33.2724	27.4390	0.0000	|	1.6623	35.1689	26.5060	0.0000	|  Best result at epoch 58
61	2.9364	4.7619	|	1.6766	32.5118	34.1463	0.0000	|	1.7441	31.9771	19.8795	0.0000	|  Best result at epoch 58
62	2.0120	5.1039	|	1.7379	30.0455	25.0000	0.0000	|	1.7973	29.9031	21.6867	0.0000	|  Best result at epoch 58
63	2.6623	5.2345	|	1.6996	31.5857	29.8780	0.0000	|	1.6949	33.8989	25.9036	0.0000	|  Best result at epoch 58
64	2.0958	5.6284	|	1.7218	30.6906	20.1220	0.0000	|	1.5227	40.6126	28.9157	0.0000	|  Best result at epoch 58
65	2.0584	5.8653	|	1.8636	24.9825	31.7073	0.0000	|	1.9110	25.4708	17.4699	0.0000	|  Best result at epoch 58
66	3.1775	5.6598	|	1.7254	30.5485	20.7317	0.0000	|	1.5287	40.3788	29.5181	0.0000	|  Best result at epoch 58
67	2.1552	5.4359	|	1.7156	30.9404	28.0488	0.0000	|	1.5985	37.6567	24.6988	0.0000	|  Best result at epoch 58
68	2.0349	6.5873	|	2.0304	18.2707	31.0976	0.0000	|	2.1677	15.4601	16.8675	0.0000	|  Best result at epoch 58
69	2.0732	5.1283	|	1.6860	32.1340	31.0976	0.0000	|	1.6837	34.3330	25.9036	0.0000	|  Best result at epoch 58
70	1.9557	6.7189	|	2.0052	19.2866	31.7073	0.0000	|	2.1749	15.1788	18.0723	0.0000	|  Best result at epoch 58
71	2.5819	4.9490	|	1.6605	33.1584	29.2683	0.0000	|	1.6169	36.9396	26.5060	0.0000	|  Best result at epoch 58
72	1.6058	5.0860	|	1.6993	31.5976	29.8780	0.0000	|	1.6930	33.9737	26.5060	0.0000	|  Best result at epoch 58
73	1.6738	5.4643	|	1.7529	29.4413	29.8780	0.0000	|	1.7558	31.5241	25.9036	0.0000	|  Best result at epoch 58
74	2.8106	8.3784	|	2.0204	18.6727	17.6829	0.0000	|	1.7041	33.5383	21.0843	0.0000	|  Best result at epoch 58
75	2.5749	5.0920	|	1.7189	30.8095	31.7073	0.0000	|	1.7332	32.4023	24.0964	0.0000	|  Best result at epoch 58
76	1.5799	5.1804	|	1.6674	32.8831	27.4390	0.0000	|	1.6448	35.8533	27.1084	0.0000	|  Best result at epoch 58
77	1.8134	5.6664	|	1.8126	27.0381	35.9756	0.0000	|	1.9927	22.2827	19.8795	0.0000	|  Best result at epoch 58
78	1.8709	5.0196	|	1.6792	32.4068	26.8293	0.0000	|	1.6239	36.6660	26.5060	0.0000	|  Best result at epoch 58
79	2.0098	5.5670	|	1.8224	26.6440	32.9268	0.0000	|	2.0007	21.9695	16.8675	0.0000	|  Best result at epoch 58
80	1.5441	4.8718	|	1.6637	33.0309	31.0976	0.0000	|	1.6484	35.7101	28.3133	0.0000	|  Best result at epoch 58
81	1.4203	5.5696	|	1.7695	28.7731	28.6585	0.0000	|	1.8560	27.6137	23.4940	0.0000	|  Best result at epoch 58
82	1.9019	5.2039	|	1.7341	30.1970	26.8293	0.0000	|	1.7790	30.6183	25.3012	0.0000	|  Best result at epoch 58
83	1.9316	6.4666	|	1.8065	27.2844	20.1220	0.0000	|	1.5436	39.7979	26.5060	0.0000	|  Best result at epoch 58
84	1.8057	6.2716	|	1.9156	22.8912	35.3659	0.0000	|	2.1433	16.4115	18.6747	0.0000	|  Best result at epoch 58
85	1.8408	5.3512	|	1.7383	30.0286	32.9268	0.0000	|	1.6827	34.3719	25.9036	0.0000	|  Best result at epoch 58
86	1.7901	6.0656	|	1.8515	25.4724	34.1463	0.0000	|	1.9454	24.1271	18.0723	0.0000	|  Best result at epoch 58
87	2.1501	5.3854	|	1.7138	31.0153	21.9512	0.0000	|	1.6664	35.0110	30.1205	0.0000	|  Best result at epoch 58
88	1.7116	5.8760	|	1.7253	30.5533	20.7317	0.0000	|	1.5753	38.5633	24.6988	0.0000	|  Best result at epoch 58
89	1.5487	6.3885	|	1.8929	23.8068	25.0000	0.0000	|	1.9261	24.8815	21.6867	0.0000	|  Best result at epoch 58
90	1.4834	5.3311	|	1.7474	29.6622	23.7805	0.0000	|	1.7422	32.0533	26.5060	0.0000	|  Best result at epoch 58
91	1.6011	5.3913	|	1.8003	27.5323	31.7073	0.0000	|	1.9109	25.4750	16.8675	0.0000	|  Best result at epoch 58
92	1.5450	5.5024	|	1.7788	28.3994	28.0488	0.0000	|	1.8786	26.7349	24.0964	0.0000	|  Best result at epoch 58
93	1.5088	6.7564	|	1.8552	25.3235	14.0244	0.0000	|	1.5956	37.7697	25.3012	0.0000	|  Best result at epoch 58
94	1.9525	5.1600	|	1.7253	30.5534	25.0000	0.0000	|	1.7363	32.2816	22.8916	0.0000	|  Best result at epoch 58
95	1.4762	6.6789	|	1.9873	20.0034	23.1707	0.0000	|	2.0720	19.1903	16.2651	0.0000	|  Best result at epoch 58
96	1.8130	5.1671	|	1.7154	30.9485	26.2195	0.0000	|	1.7788	30.6272	25.9036	0.0000	|  Best result at epoch 58
97	1.6191	6.0872	|	1.9227	22.6073	28.6585	0.0000	|	2.1090	17.7468	17.4699	0.0000	|  Best result at epoch 58
98	1.3914	5.6068	|	1.8114	27.0855	25.6098	0.0000	|	1.9355	24.5135	23.4940	0.0000	|  Best result at epoch 58
99	1.5066	5.2929	|	1.7688	28.8002	31.7073	0.0000	|	1.8893	26.3159	19.2771	0.0000	|  Best result at epoch 58
100	1.6019	5.9386	|	1.7306	30.3391	25.0000	0.0000	|	1.6295	36.4482	22.8916	0.0000	|  Best result at epoch 58
101	2.1003	5.2569	|	1.7166	30.9035	33.5366	0.0000	|	1.8256	28.8001	23.4940	0.0000	|  Best result at epoch 58
102	1.4983	5.3362	|	1.6966	31.7085	28.0488	0.0000	|	1.6023	37.5089	27.7108	0.0000	|  Best result at epoch 58
103	1.4252	5.6633	|	1.8179	26.8221	34.1463	0.0000	|	1.9847	22.5955	20.4819	0.0000	|  Best result at epoch 58
104	1.6960	6.4328	|	1.8887	23.9728	34.7561	0.0000	|	2.0619	19.5846	21.6867	0.0000	|  Best result at epoch 58
105	1.3388	5.5982	|	1.7207	30.7361	26.8293	0.0000	|	1.5734	38.6350	27.7108	0.0000	|  Best result at epoch 58
106	1.8194	5.5422	|	1.8085	27.2011	30.4878	0.0000	|	1.8802	26.6700	20.4819	0.0000	|  Best result at epoch 58
107	1.2093	5.6687	|	1.8201	26.7340	32.3171	0.0000	|	1.8952	26.0862	17.4699	0.0000	|  Best result at epoch 58
108	1.5748	5.1510	|	1.6964	31.7158	32.9268	0.0000	|	1.6330	36.3135	27.7108	0.0000	|  Best result at epoch 58
109	1.2596	7.1724	|	1.9840	20.1397	29.8780	0.0000	|	2.0549	19.8565	24.0964	0.0000	|  Best result at epoch 58
110	1.2914	6.8401	|	1.9804	20.2837	29.8780	0.0000	|	2.0562	19.8057	16.8675	0.0000	|  Best result at epoch 58
111	1.5652	6.0950	|	1.7801	28.3468	25.6098	0.0000	|	1.6218	36.7482	26.5060	0.0000	|  Best result at epoch 58
112	1.5796	5.7304	|	1.8006	27.5191	31.0976	0.0000	|	1.7617	31.2911	25.3012	0.0000	|  Best result at epoch 58
113	1.2299	5.2628	|	1.7185	30.8236	31.7073	0.0000	|	1.6462	35.7987	27.7108	0.0000	|  Best result at epoch 58
114	1.2135	5.3639	|	1.7410	29.9182	32.3171	0.0000	|	1.6630	35.1415	28.3133	0.0000	|  Best result at epoch 58
115	1.3406	5.0739	|	1.7351	30.1559	29.8780	0.0000	|	1.7494	31.7726	23.4940	0.0000	|  Best result at epoch 58
116	1.3459	5.4063	|	1.7935	27.8049	28.6585	0.0000	|	1.8685	27.1261	19.8795	0.0000	|  Best result at epoch 58
117	1.6083	5.7628	|	1.7101	31.1622	28.6585	0.0000	|	1.5833	38.2498	28.3133	0.0000	|  Best result at epoch 58
118	1.3027	5.1303	|	1.7172	30.8776	29.8780	0.0000	|	1.6894	34.1138	27.7108	0.0000	|  Best result at epoch 58
119	0.9546	5.7415	|	1.7818	28.2780	32.3171	0.0000	|	1.8330	28.5132	25.9036	0.0000	|  Best result at epoch 58
120	1.6947	5.4282	|	1.7148	30.9731	29.8780	0.0000	|	1.5833	38.2503	27.1084	0.0000	|  Best result at epoch 58
121	1.2040	5.3971	|	1.7734	28.6167	30.4878	0.0000	|	1.7352	32.3252	24.0964	0.0000	|  Best result at epoch 58
122	1.3197	6.0813	|	1.8721	24.6404	34.1463	0.0000	|	1.8922	26.2013	19.2771	0.0000	|  Best result at epoch 58
123	1.1515	6.6335	|	1.9011	23.4763	32.9268	0.0000	|	1.8192	29.0488	25.3012	0.0000	|  Best result at epoch 58
124	1.4577	5.7068	|	1.7947	27.7561	29.2683	0.0000	|	1.7878	30.2754	25.9036	0.0000	|  Best result at epoch 58
125	1.1381	6.8183	|	1.9180	22.7951	31.7073	0.0000	|	1.9393	24.3643	22.8916	0.0000	|  Best result at epoch 58
126	1.3215	5.6571	|	1.7692	28.7854	29.2683	0.0000	|	1.6826	34.3775	29.5181	0.0000	|  Best result at epoch 58
127	1.1857	6.2030	|	1.8351	26.1335	28.6585	0.0000	|	1.8500	27.8474	24.6988	0.0000	|  Best result at epoch 58
128	1.1507	5.5334	|	1.7591	29.1905	29.8780	0.0000	|	1.6682	34.9390	30.1205	0.0000	|  Best result at epoch 58
129	1.2782	7.1682	|	1.9739	20.5426	32.9268	0.0000	|	2.1748	15.1825	20.4819	0.0000	|  Best result at epoch 58
130	1.2697	5.4708	|	1.7708	28.7190	31.0976	0.0000	|	1.8514	27.7942	25.3012	0.0000	|  Best result at epoch 58
131	1.0828	5.8817	|	1.8279	26.4231	32.3171	0.0000	|	1.9914	22.3360	20.4819	0.0000	|  Best result at epoch 58
132	1.4308	5.5777	|	1.8102	27.1337	32.9268	0.0000	|	2.0243	21.0498	19.2771	0.0000	|  Best result at epoch 58
133	1.1087	6.3825	|	1.8778	24.4127	32.3171	0.0000	|	2.0575	19.7564	21.0843	0.0000	|  Best result at epoch 58
134	1.3568	5.6407	|	1.7953	27.7319	31.7073	0.0000	|	1.8407	28.2127	19.2771	0.0000	|  Best result at epoch 58
135	1.1323	5.6814	|	1.8365	26.0766	31.7073	0.0000	|	1.9595	23.5768	18.6747	0.0000	|  Best result at epoch 58
136	1.0962	5.7108	|	1.7453	29.7446	28.6585	0.0000	|	1.5732	38.6452	28.9157	0.0000	|  Best result at epoch 58
137	1.0879	5.7940	|	1.8365	26.0761	28.0488	0.0000	|	1.8617	27.3911	21.0843	0.0000	|  Best result at epoch 58
138	1.3141	7.0525	|	1.9701	20.6970	31.0976	0.0000	|	2.0447	20.2560	21.6867	0.0000	|  Best result at epoch 58
139	1.6074	5.6534	|	1.7671	28.8685	29.8780	0.0000	|	1.6174	36.9218	25.3012	0.0000	|  Best result at epoch 58
140	1.2479	5.5115	|	1.7525	29.4564	31.0976	0.0000	|	1.6724	34.7747	25.9036	0.0000	|  Best result at epoch 58
141	1.3610	5.7369	|	1.8270	26.4570	29.2683	0.0000	|	1.8573	27.5647	20.4819	0.0000	|  Best result at epoch 58
142	1.1922	5.8152	|	1.7823	28.2590	31.7073	0.0000	|	1.6531	35.5295	24.6988	0.0000	|  Best result at epoch 58
143	1.2263	6.1344	|	1.8674	24.8303	29.8780	0.0000	|	1.9132	25.3835	19.2771	0.0000	|  Best result at epoch 58
144	1.1911	5.3578	|	1.7314	30.3058	31.0976	0.0000	|	1.6296	36.4427	25.3012	0.0000	|  Best result at epoch 58
145	1.2459	5.1036	|	1.7606	29.1301	32.9268	0.0000	|	1.9207	25.0912	16.8675	0.0000	|  Best result at epoch 58
146	1.1144	5.3639	|	1.7337	30.2122	28.0488	0.0000	|	1.6556	35.4323	27.1084	0.0000	|  Best result at epoch 58
147	1.0211	6.0937	|	1.8807	24.2980	32.9268	0.0000	|	2.1040	17.9421	16.8675	0.0000	|  Best result at epoch 58
