epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
45	3.9767	3.1557	|	1.4553	26.5032	29.5082	0.0000	|	1.8592	6.5953	32.8000	0.0000	|  Best result at epoch 42
46	3.2767	2.8940	|	1.3497	31.8341	36.8852	0.0000	|	1.9068	4.2069	29.6000	0.0000	|  Best result at epoch 42
47	2.7810	5.4449	|	1.7480	11.7206	12.2951	0.0000	|	2.7585	-38.5863	7.2000	0.0000	|  Best result at epoch 42
48	3.7353	5.9311	|	2.0903	-5.5691	28.6885	0.0000	|	2.1451	-7.7684	31.2000	0.0000	|  Best result at epoch 42
49	4.2839	3.3514	|	1.3162	33.5253	38.5246	0.0000	|	2.1516	-8.0958	26.4000	0.0000	|  Best result at epoch 42
50	2.7023	3.2804	|	1.4047	29.0583	33.6066	0.0000	|	2.0799	-4.4897	26.4000	0.0000	|  Best result at epoch 42
51	2.6174	2.9661	|	1.3685	30.8843	32.7869	0.0000	|	1.9481	2.1305	29.6000	0.0000	|  Best result at epoch 42
52	3.5194	2.8541	|	1.2913	34.7818	40.9836	0.0000	|	1.9225	3.4139	29.6000	0.0000	|  Best result at epoch 42
53	2.3641	3.6126	|	1.4435	27.0993	23.7705	0.0000	|	2.2243	-11.7474	19.2000	0.0000	|  Best result at epoch 42
54	2.9782	3.8809	|	1.3981	29.3890	34.4262	0.0000	|	2.2462	-12.8459	24.8000	0.0000	|  Best result at epoch 42
55	2.7591	4.4040	|	1.5267	22.8957	23.7705	0.0000	|	2.4230	-21.7292	16.8000	0.0000	|  Best result at epoch 42
56	3.0435	3.2556	|	1.3360	32.5280	34.4262	0.0000	|	2.1223	-6.6220	24.0000	0.0000	|  Best result at epoch 42
57	2.1808	3.1645	|	1.2916	34.7676	35.2459	0.0000	|	2.1002	-5.5103	32.0000	0.0000	|  Best result at epoch 42
58	2.2411	2.9731	|	1.2841	35.1475	34.4262	0.0000	|	2.0384	-2.4080	26.4000	0.0000	|  Best result at epoch 42
59	2.6759	5.3639	|	1.7416	12.0396	11.4754	0.0000	|	2.6311	-32.1852	16.0000	0.0000	|  Best result at epoch 42
60	2.7778	3.7705	|	1.4154	28.5161	28.6885	0.0000	|	2.2729	-14.1900	20.8000	0.0000	|  Best result at epoch 42
61	2.5728	4.8442	|	1.6266	17.8492	16.3934	0.0000	|	2.5972	-30.4802	16.8000	0.0000	|  Best result at epoch 42
62	2.6192	3.2658	|	1.3795	30.3272	36.0656	0.0000	|	2.1126	-6.1370	26.4000	0.0000	|  Best result at epoch 42
63	1.8569	3.7606	|	1.4467	26.9333	25.4098	0.0000	|	2.2487	-12.9709	21.6000	0.0000	|  Best result at epoch 42
64	2.1723	5.0379	|	1.6619	16.0678	13.1148	0.0000	|	2.5694	-29.0839	16.8000	0.0000	|  Best result at epoch 42
65	2.3987	3.5138	|	1.4505	26.7440	31.1475	0.0000	|	2.2100	-11.0267	24.8000	0.0000	|  Best result at epoch 42
66	1.7883	3.2111	|	1.3726	30.6792	31.1475	0.0000	|	2.1021	-5.6075	26.4000	0.0000	|  Best result at epoch 42
67	1.8988	4.0099	|	1.4644	26.0420	29.5082	0.0000	|	2.2877	-14.9306	20.8000	0.0000	|  Best result at epoch 42
68	2.4667	3.3925	|	1.3263	33.0166	38.5246	0.0000	|	2.1805	-9.5478	25.6000	0.0000	|  Best result at epoch 42
69	2.3467	3.0026	|	1.2696	35.8799	35.2459	0.0000	|	2.1870	-9.8700	20.8000	0.0000	|  Best result at epoch 42
70	2.0508	3.3005	|	1.3237	33.1476	31.9672	0.0000	|	2.1840	-9.7228	20.8000	0.0000	|  Best result at epoch 42
