epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
46	1.4879	1.9957	|	1.1428	15.6089	18.7500	0.0000	|	1.2741	13.6250	19.3878	0.0000	|  Best result at epoch 31
47	1.9303	1.3022	|	0.8325	38.5210	55.2083	0.0000	|	1.0332	29.9522	41.8367	0.0000	|  Best result at epoch 31
48	1.2424	1.3586	|	0.8666	36.0062	54.1667	0.0000	|	1.0358	29.7799	40.8163	0.0000	|  Best result at epoch 31
49	2.1435	4.3294	|	1.7517	-29.3569	16.6667	0.0000	|	1.8449	-25.0751	22.4490	0.0000	|  Best result at epoch 31
50	3.3609	1.2629	|	0.8511	37.1459	55.2083	0.0000	|	1.0932	25.8842	43.8776	0.0000	|  Best result at epoch 31
51	1.4065	1.5528	|	0.9878	27.0578	46.8750	0.0000	|	1.1725	20.5087	40.8163	0.0000	|  Best result at epoch 31
52	1.5853	1.3045	|	0.8373	38.1691	53.1250	0.0000	|	1.0358	29.7801	40.8163	0.0000	|  Best result at epoch 31
53	1.3129	1.4280	|	0.8969	33.7656	45.8333	0.0000	|	1.0658	27.7418	37.7551	0.0000	|  Best result at epoch 31
54	1.2992	1.4983	|	0.9602	29.0916	55.2083	0.0000	|	1.1323	23.2375	41.8367	0.0000	|  Best result at epoch 31
55	1.9746	2.5170	|	1.3082	3.3908	14.5833	0.0000	|	1.4512	1.6164	11.2245	0.0000	|  Best result at epoch 31
56	1.8332	1.4241	|	0.9051	33.1587	53.1250	0.0000	|	1.0789	26.8577	40.8163	0.0000	|  Best result at epoch 31
57	1.1811	1.9549	|	1.1164	17.5570	31.2500	0.0000	|	1.2897	12.5685	23.4694	0.0000	|  Best result at epoch 31
58	2.6406	1.7723	|	1.0564	21.9862	19.7917	0.0000	|	1.2583	14.6936	16.3265	0.0000	|  Best result at epoch 31
59	1.6609	1.4680	|	0.9194	32.1069	54.1667	0.0000	|	1.0977	25.5827	40.8163	0.0000	|  Best result at epoch 31
60	1.5464	2.2251	|	1.1951	11.7441	15.6250	0.0000	|	1.3343	9.5421	12.2449	0.0000	|  Best result at epoch 31
61	1.4098	1.7851	|	1.0584	21.8412	39.5833	0.0000	|	1.2357	16.2271	31.6327	0.0000	|  Best result at epoch 31
62	1.5105	1.5127	|	0.9310	31.2522	55.2083	0.0000	|	1.1093	24.7962	40.8163	0.0000	|  Best result at epoch 31
63	1.0896	1.7186	|	1.0284	24.0600	38.5417	0.0000	|	1.1619	21.2314	30.6122	0.0000	|  Best result at epoch 31
64	1.4198	1.7669	|	1.0595	21.7604	53.1250	0.0000	|	1.2179	17.4358	36.7347	0.0000	|  Best result at epoch 31
65	1.1000	1.7272	|	1.0453	22.8118	42.7083	0.0000	|	1.2280	16.7501	33.6735	0.0000	|  Best result at epoch 31
66	1.1625	2.1494	|	1.2011	11.3049	39.5833	0.0000	|	1.3280	9.9665	33.6735	0.0000	|  Best result at epoch 31
67	1.4715	1.6727	|	1.0061	25.7006	39.5833	0.0000	|	1.1185	24.1721	31.6327	0.0000	|  Best result at epoch 31
68	1.1970	1.6330	|	0.9572	29.3115	51.0417	0.0000	|	1.1377	22.8709	34.6939	0.0000	|  Best result at epoch 31
69	0.9651	1.6061	|	0.9956	26.4783	43.7500	0.0000	|	1.0929	25.9080	38.7755	0.0000	|  Best result at epoch 31
70	1.1440	1.9677	|	1.1195	17.3286	47.9167	0.0000	|	1.2428	15.7447	29.5918	0.0000	|  Best result at epoch 31
71	1.3513	1.6781	|	1.0211	24.5981	40.6250	0.0000	|	1.1555	21.6673	33.6735	0.0000	|  Best result at epoch 31
72	1.3122	1.7909	|	1.0646	21.3807	47.9167	0.0000	|	1.1706	20.6371	36.7347	0.0000	|  Best result at epoch 31
73	1.0580	1.7073	|	0.9997	26.1781	37.5000	0.0000	|	1.1408	22.6601	30.6122	0.0000	|  Best result at epoch 31
74	0.7670	1.7590	|	1.0366	23.4541	42.7083	0.0000	|	1.1839	19.7396	33.6735	0.0000	|  Best result at epoch 31
75	0.8758	1.9645	|	1.1282	16.6872	35.4167	0.0000	|	1.3304	9.8083	25.5102	0.0000	|  Best result at epoch 31
76	1.2132	1.7614	|	1.0419	23.0596	35.4167	0.0000	|	1.1894	19.3651	28.5714	0.0000	|  Best result at epoch 31
77	1.0899	1.6282	|	0.9776	27.8084	52.0833	0.0000	|	1.1718	20.5576	34.6939	0.0000	|  Best result at epoch 31
78	0.8865	1.8555	|	1.0889	19.5921	35.4167	0.0000	|	1.2480	15.3954	27.5510	0.0000	|  Best result at epoch 31
79	0.9284	1.9354	|	1.1115	17.9169	44.7917	0.0000	|	1.2418	15.8164	31.6327	0.0000	|  Best result at epoch 31
80	0.7118	1.8179	|	1.0343	23.6239	35.4167	0.0000	|	1.2206	17.2501	26.5306	0.0000	|  Best result at epoch 31
81	1.1969	1.4310	|	0.8834	34.7674	52.0833	0.0000	|	1.1114	24.6562	35.7143	0.0000	|  Best result at epoch 31
82	0.8370	1.7321	|	1.0172	24.8815	36.4583	0.0000	|	1.2293	16.6603	27.5510	0.0000	|  Best result at epoch 31
83	0.8696	1.5063	|	0.9039	33.2518	51.0417	0.0000	|	1.1587	21.4494	32.6531	0.0000	|  Best result at epoch 31
84	0.6408	1.7976	|	1.0564	21.9906	42.7083	0.0000	|	1.2812	13.1422	27.5510	0.0000	|  Best result at epoch 31
85	0.7257	1.8884	|	1.0713	20.8865	39.5833	0.0000	|	1.2598	14.5920	27.5510	0.0000	|  Best result at epoch 31
86	1.0454	1.8090	|	1.0887	19.6053	41.6667	0.0000	|	1.2360	16.2044	30.6122	0.0000	|  Best result at epoch 31
87	0.9032	1.7859	|	1.0266	24.1899	42.7083	0.0000	|	1.1804	19.9741	29.5918	0.0000	|  Best result at epoch 31
88	0.7525	2.0282	|	1.1603	14.3182	36.4583	0.0000	|	1.3451	8.8095	26.5306	0.0000	|  Best result at epoch 31
89	0.8725	1.8150	|	1.0161	24.9686	39.5833	0.0000	|	1.1795	20.0349	31.6327	0.0000	|  Best result at epoch 31
90	0.7664	2.1935	|	1.2067	10.8927	25.0000	0.0000	|	1.4008	5.0368	22.4490	0.0000	|  Best result at epoch 31
