epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
45	2.8406	6.5236	|	1.9892	9.4690	36.8421	0.0000	|	2.4120	-9.1046	25.5072	0.0000	|  Best result at epoch 36
46	2.8792	8.3171	|	2.2209	-1.0758	24.2690	0.0000	|	2.0990	5.0530	21.4493	0.0000	|  Best result at epoch 36
47	2.8666	8.1591	|	2.2079	-0.4853	26.3158	0.0000	|	1.9975	9.6445	22.6087	0.0000	|  Best result at epoch 36
48	2.8793	8.1461	|	2.1953	0.0879	26.0234	0.0000	|	1.9997	9.5479	24.0580	0.0000	|  Best result at epoch 36
49	2.8272	6.9410	|	2.0206	8.0396	33.0409	0.0000	|	2.0940	5.2786	25.5072	0.0000	|  Best result at epoch 36
50	2.7475	6.2968	|	1.9815	9.8194	31.8713	0.0000	|	2.2219	-0.5039	24.0580	0.0000	|  Best result at epoch 36
51	2.8155	6.4524	|	1.9749	10.1199	33.0409	0.0000	|	2.2122	-0.0662	24.3478	0.0000	|  Best result at epoch 36
52	2.8139	10.1116	|	2.4824	-12.9773	19.5906	0.0000	|	2.0917	5.3839	22.0290	0.0000	|  Best result at epoch 36
53	2.6819	8.0292	|	2.1675	1.3502	26.0234	0.0000	|	1.9366	12.4018	26.0870	0.0000	|  Best result at epoch 36
54	2.6015	6.5130	|	1.9653	10.5552	32.4561	0.0000	|	2.0049	9.3119	22.3188	0.0000	|  Best result at epoch 36
55	2.6502	7.0430	|	2.0571	6.3785	29.2398	0.0000	|	2.0909	5.4209	24.3478	0.0000	|  Best result at epoch 36
56	2.5921	6.2748	|	1.9567	10.9453	32.7485	0.0000	|	2.1313	3.5934	27.2464	0.0000	|  Best result at epoch 36
57	2.5212	6.3848	|	1.9808	9.8505	30.4094	0.0000	|	2.0172	8.7519	25.2174	0.0000	|  Best result at epoch 36
58	2.5984	6.5215	|	1.9972	9.1023	30.9942	0.0000	|	2.2023	0.3829	24.0580	0.0000	|  Best result at epoch 36
59	2.5060	7.5485	|	2.1033	4.2746	31.2865	0.0000	|	2.0711	6.3158	23.1884	0.0000	|  Best result at epoch 36
60	2.3451	6.2785	|	1.9426	11.5878	34.2105	0.0000	|	2.1941	0.7516	26.0870	0.0000	|  Best result at epoch 60
