epoch	loss	v_loss	|	v_mae	v_sa	v_pr25	v_n/a	|	t_mae	t_sa	t_pr25	t_n/a
46	8.4934	10.4830	|	2.3698	25.1389	34.4444	0.0000	|	2.4062	21.2139	32.3009	0.0000	|  Best result at epoch 9
47	8.8806	11.8035	|	2.7319	13.6995	31.5556	0.0000	|	2.8944	5.2279	31.8584	0.0000	|  Best result at epoch 9
48	8.5650	9.9970	|	2.4257	23.3725	32.4444	0.0000	|	2.4114	21.0442	34.9558	0.0000	|  Best result at epoch 9
49	8.4042	12.0544	|	2.5633	19.0261	32.6667	0.0000	|	2.6069	14.6429	30.7522	0.0000	|  Best result at epoch 9
50	8.2256	13.7532	|	2.9762	5.9829	30.0000	0.0000	|	3.1314	-2.5313	32.5221	0.0000	|  Best result at epoch 9
51	8.7824	10.5323	|	2.3818	24.7593	36.6667	0.0000	|	2.2269	27.0848	38.7168	0.0000	|  Best result at epoch 9
52	8.1098	10.0271	|	2.3753	24.9641	34.2222	0.0000	|	2.2847	25.1926	36.0619	0.0000	|  Best result at epoch 9
53	7.5018	10.7375	|	2.4353	23.0689	34.8889	0.0000	|	2.3711	22.3624	35.8407	0.0000	|  Best result at epoch 9
54	7.6558	11.3575	|	2.4563	22.4050	33.7778	0.0000	|	2.4299	20.4370	32.9646	0.0000	|  Best result at epoch 9
55	7.9016	13.9698	|	2.9156	7.8958	31.1111	0.0000	|	3.2612	-6.7814	27.8761	0.0000	|  Best result at epoch 9
56	7.7561	11.3110	|	2.4528	22.5147	34.8889	0.0000	|	2.6023	14.7941	30.5310	0.0000	|  Best result at epoch 9
57	7.0776	11.7003	|	2.5230	20.2980	36.2222	0.0000	|	2.6046	14.7161	33.8496	0.0000	|  Best result at epoch 9
58	7.4421	10.6530	|	2.4300	23.2358	34.4444	0.0000	|	2.4446	19.9546	35.6195	0.0000	|  Best result at epoch 9
59	7.4243	11.4941	|	2.4578	22.3573	32.8889	0.0000	|	2.5039	18.0157	29.6460	0.0000	|  Best result at epoch 9
60	6.8855	11.8089	|	2.4881	21.4006	33.1111	0.0000	|	2.7786	9.0201	29.8673	0.0000	|  Best result at epoch 9
61	7.2965	10.8388	|	2.4352	23.0730	33.7778	0.0000	|	2.4798	18.8039	32.7434	0.0000	|  Best result at epoch 9
62	7.2267	15.1982	|	2.9302	7.4366	31.1111	0.0000	|	3.2145	-5.2529	28.7611	0.0000	|  Best result at epoch 9
63	7.2250	12.0134	|	2.6665	15.7655	32.0000	0.0000	|	2.8187	7.7073	33.6283	0.0000	|  Best result at epoch 9
64	7.2028	13.7007	|	2.8516	9.9187	32.4444	0.0000	|	3.0837	-0.9691	31.8584	0.0000	|  Best result at epoch 9
65	7.0153	13.4827	|	2.9291	7.4685	29.5556	0.0000	|	3.2460	-6.2845	28.9823	0.0000	|  Best result at epoch 9
66	6.8310	10.7816	|	2.4138	23.7498	33.1111	0.0000	|	2.3605	22.7101	31.1947	0.0000	|  Best result at epoch 9
67	7.5139	11.6363	|	2.6430	16.5088	33.5556	0.0000	|	2.8175	7.7453	30.7522	0.0000	|  Best result at epoch 9
68	6.7390	14.6143	|	2.8950	8.5470	32.6667	0.0000	|	3.2193	-5.4092	32.0796	0.0000	|  Best result at epoch 9
69	6.6732	14.8139	|	2.9205	7.7418	29.5556	0.0000	|	3.1390	-2.7802	30.7522	0.0000	|  Best result at epoch 9
70	7.0521	15.4635	|	3.0387	4.0086	29.1111	0.0000	|	3.3584	-9.9653	28.3186	0.0000	|  Best result at epoch 9
71	7.3029	12.1795	|	2.6037	17.7481	31.1111	0.0000	|	2.5827	15.4330	31.6372	0.0000	|  Best result at epoch 9
72	7.1956	11.6028	|	2.5208	20.3675	31.3333	0.0000	|	2.4967	18.2494	33.6283	0.0000	|  Best result at epoch 9
73	6.6724	11.1351	|	2.4929	21.2505	34.0000	0.0000	|	2.4857	18.6100	33.8496	0.0000	|  Best result at epoch 9
74	6.8060	12.0137	|	2.6645	15.8287	32.6667	0.0000	|	2.7279	10.6815	33.4071	0.0000	|  Best result at epoch 9
75	7.0482	14.9108	|	2.9779	5.9287	31.7778	0.0000	|	3.3871	-10.9055	27.4336	0.0000	|  Best result at epoch 9
76	6.6540	13.4715	|	2.8717	9.2840	31.1111	0.0000	|	3.0198	1.1218	28.3186	0.0000	|  Best result at epoch 9
77	6.6753	11.0945	|	2.4199	23.5555	32.8889	0.0000	|	2.3626	22.6422	32.3009	0.0000	|  Best result at epoch 9
78	6.8545	11.3484	|	2.4998	21.0317	33.7778	0.0000	|	2.5198	17.4947	32.7434	0.0000	|  Best result at epoch 9
79	6.5976	12.6475	|	2.7321	13.6941	34.2222	0.0000	|	3.0185	1.1644	31.6372	0.0000	|  Best result at epoch 9
80	6.1261	11.5727	|	2.4697	21.9814	31.1111	0.0000	|	2.2911	24.9814	36.0619	0.0000	|  Best result at epoch 9
81	6.4524	13.4792	|	2.8262	10.7190	32.6667	0.0000	|	2.9352	3.8928	31.1947	0.0000	|  Best result at epoch 9
82	6.7671	11.3386	|	2.4641	22.1589	32.4444	0.0000	|	2.3286	23.7539	35.6195	0.0000	|  Best result at epoch 9
83	5.9702	10.6847	|	2.3716	25.0828	35.3333	0.0000	|	2.1633	29.1678	40.4867	0.0000	|  Best result at epoch 9
84	6.4732	12.2058	|	2.4966	21.1332	29.5556	0.0000	|	2.3031	24.5880	30.7522	0.0000	|  Best result at epoch 9
85	6.4672	12.8287	|	2.6892	15.0480	33.3333	0.0000	|	2.8401	7.0073	29.8673	0.0000	|  Best result at epoch 9
86	6.0332	11.3622	|	2.5163	20.5097	35.1111	0.0000	|	2.5889	15.2319	31.8584	0.0000	|  Best result at epoch 9
87	6.0834	11.2925	|	2.4498	22.6120	32.0000	0.0000	|	2.3912	21.7048	30.3097	0.0000	|  Best result at epoch 9
88	6.6243	11.6769	|	2.5414	19.7169	32.4444	0.0000	|	2.6687	12.6198	32.5221	0.0000	|  Best result at epoch 9
89	6.5263	11.3789	|	2.5760	18.6243	33.5556	0.0000	|	2.6190	14.2444	33.4071	0.0000	|  Best result at epoch 9
90	5.5925	13.3223	|	2.7856	12.0030	31.5556	0.0000	|	3.0292	0.8129	27.6549	0.0000	|  Best result at epoch 9
91	6.0303	12.0391	|	2.6301	16.9162	34.0000	0.0000	|	2.7823	8.8979	32.9646	0.0000	|  Best result at epoch 9
92	6.5806	12.1589	|	2.6219	17.1744	34.2222	0.0000	|	2.6812	12.2083	32.5221	0.0000	|  Best result at epoch 9
93	5.8925	13.3321	|	2.8248	10.7632	33.5556	0.0000	|	3.1264	-2.3666	30.3097	0.0000	|  Best result at epoch 9
94	6.0723	12.0428	|	2.5011	20.9904	32.6667	0.0000	|	2.2583	26.0575	38.4956	0.0000	|  Best result at epoch 9
95	7.3086	11.6320	|	2.6176	17.3092	32.2222	0.0000	|	2.6390	13.5915	29.6460	0.0000	|  Best result at epoch 9
96	5.9818	11.0642	|	2.4781	21.7183	35.7778	0.0000	|	2.3689	22.4333	32.9646	0.0000	|  Best result at epoch 9
97	6.2320	11.8590	|	2.5865	18.2941	34.4444	0.0000	|	2.5655	15.9968	34.0708	0.0000	|  Best result at epoch 9
98	5.6452	12.4513	|	2.6829	15.2469	34.4444	0.0000	|	2.7485	10.0066	33.4071	0.0000	|  Best result at epoch 9
99	5.2027	15.3506	|	3.0063	5.0314	29.7778	0.0000	|	3.2607	-6.7657	28.5398	0.0000	|  Best result at epoch 9
100	6.0227	11.9662	|	2.5608	19.1033	32.8889	0.0000	|	2.4501	19.7773	33.8496	0.0000	|  Best result at epoch 9
101	5.3521	12.8012	|	2.6281	16.9801	34.2222	0.0000	|	2.5519	16.4437	38.2743	0.0000	|  Best result at epoch 9
102	5.6787	11.6628	|	2.5282	20.1334	34.2222	0.0000	|	2.3970	21.5159	36.9469	0.0000	|  Best result at epoch 9
103	5.6284	11.7459	|	2.5577	19.2033	34.0000	0.0000	|	2.3848	21.9133	34.9558	0.0000	|  Best result at epoch 9
104	5.8379	11.9405	|	2.5694	18.8320	34.2222	0.0000	|	2.4730	19.0278	36.7257	0.0000	|  Best result at epoch 9
105	6.1361	12.6566	|	2.7590	12.8425	32.0000	0.0000	|	2.7691	9.3320	33.6283	0.0000	|  Best result at epoch 9
106	5.8572	13.0950	|	2.6470	16.3800	32.6667	0.0000	|	2.5163	17.6083	36.7257	0.0000	|  Best result at epoch 9
107	5.8215	11.0672	|	2.4182	23.6087	34.0000	0.0000	|	2.2477	26.4046	38.4956	0.0000	|  Best result at epoch 9
108	5.8481	12.0856	|	2.5975	17.9441	34.2222	0.0000	|	2.4994	18.1618	38.0531	0.0000	|  Best result at epoch 9
109	5.3062	10.6629	|	2.4727	21.8891	34.4444	0.0000	|	2.3436	23.2622	41.5929	0.0000	|  Best result at epoch 9
110	6.0983	12.4544	|	2.5690	18.8463	33.7778	0.0000	|	2.3999	21.4213	36.9469	0.0000	|  Best result at epoch 9
111	5.9006	12.7297	|	2.6873	15.1086	31.7778	0.0000	|	2.6805	12.2316	36.7257	0.0000	|  Best result at epoch 9
112	5.6610	12.1380	|	2.5793	18.5213	33.3333	0.0000	|	2.4580	19.5163	37.6106	0.0000	|  Best result at epoch 9
113	5.7848	11.4069	|	2.4934	21.2340	34.4444	0.0000	|	2.3938	21.6210	38.0531	0.0000	|  Best result at epoch 9
